epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.09678,3.21595,5.61649,1.83282,0.00167,0.5,0.00833,0.00162,3.25916,4.77913,1.64396,0,0,0
2,9.6308,3.20795,5.68563,1.99733,0.00167,0.5,0.00845,0.00112,3.22566,4.74466,1.61866,1.9604e-05,1.9604e-05,1.9604e-05
3,13.7343,3.02715,7.38741,1.69945,0.00167,0.5,0.00823,0.00151,3.17563,4.68904,1.5575,3.8416e-05,3.8416e-05,3.8416e-05
4,17.6494,2.67558,5.41439,1.45261,0.00167,0.5,0.0156,0.00314,3.05987,4.5402,1.49025,5.6436e-05,5.6436e-05,5.6436e-05
5,21.6316,1.95197,5.33485,1.25977,0.00167,0.5,0.08741,0.01754,2.91275,4.85541,1.39154,7.3664e-05,7.3664e-05,7.3664e-05
6,25.6839,2.28597,5.36067,1.53679,0.00167,0.5,0.25606,0.07691,2.68563,5.03163,1.28811,9.01e-05,9.01e-05,9.01e-05
7,29.7164,2.54855,6.38741,1.81872,0.00167,0.5,0.34542,0.13817,2.45659,4.7611,1.22952,0.000105744,0.000105744,0.000105744
8,33.5875,2.2084,4.79543,1.45867,0.0025,0.75,0.49606,0.18579,2.2914,4.53548,1.1867,0.000120596,0.000120596,0.000120596
9,37.5998,2.2778,4.55134,1.42619,0.00167,0.5,0.49543,0.18579,2.10305,4.59565,1.15891,0.000134656,0.000134656,0.000134656
10,41.622,2.21977,5.16467,1.55741,0.00167,0.5,0.49543,0.14873,1.91081,4.36415,1.14303,0.000147924,0.000147924,0.000147924
11,45.8216,2.27826,5.6814,1.39099,0.00167,0.5,0.49543,0.16089,1.76684,4.15868,1.09604,0.0001604,0.0001604,0.0001604
12,49.9321,2.20622,4.35157,1.56822,0.00167,0.5,0.49543,0.16102,1.53571,4.17666,1.04185,0.000172084,0.000172084,0.000172084
13,53.8995,1.87619,3.62488,1.33622,0.00167,0.5,0.49543,0.22229,1.45068,4.07441,1.00779,0.000182976,0.000182976,0.000182976
14,57.9213,1.91385,3.24733,1.28377,0.00167,0.5,0.49543,0.22229,1.41934,4.08391,1.00271,0.000193076,0.000193076,0.000193076
15,62.1483,1.63137,2.7189,1.11652,0.00167,0.5,0.49543,0.2223,1.45542,4.12768,1.01426,0.000202384,0.000202384,0.000202384
16,66.3688,1.76508,2.78205,1.31443,0.00167,0.5,0.49543,0.27172,1.52772,4.14954,1.05023,0.0002109,0.0002109,0.0002109
17,70.6953,1.6726,2.4748,1.17506,0.00167,0.5,0.49543,0.29659,1.56793,4.1997,1.0756,0.000218624,0.000218624,0.000218624
18,74.8583,1.73437,2.62419,1.22559,0.00167,0.5,0.49543,0.29659,1.56793,4.1997,1.0756,0.000225556,0.000225556,0.000225556
19,78.8759,1.712,2.19318,1.24237,0.00167,0.5,0.49543,0.14268,1.6178,4.17565,1.09065,0.000231696,0.000231696,0.000231696
20,82.8489,1.69305,3.06448,1.23989,0.00167,0.5,0.49543,0.14268,1.6178,4.17565,1.09065,0.000237044,0.000237044,0.000237044
21,87.0741,1.54457,2.4231,1.17674,0.00167,0.5,0.41209,0.07879,1.55929,3.94025,1.06275,0.0002416,0.0002416,0.0002416
22,91.1219,1.35283,2.31657,1.04162,0.00167,0.5,0.41209,0.07879,1.55929,3.94025,1.06275,0.000245364,0.000245364,0.000245364
23,95.0865,1.6196,3.26844,1.1844,0.00167,0.5,0.30098,0.04745,1.57873,3.87378,1.05324,0.000248336,0.000248336,0.000248336
24,99.1025,2.0302,2.83258,1.19984,0.00167,0.5,0.30098,0.04745,1.57873,3.87378,1.05324,0.000250516,0.000250516,0.000250516
25,103.235,1.82378,2.90354,1.15225,0.00167,0.5,0.26466,0.03345,1.64671,3.90632,1.07056,0.000251904,0.000251904,0.000251904
26,107.314,1.54773,3.16788,1.01166,0.00167,0.5,0.26466,0.03345,1.64671,3.90632,1.07056,0.0002525,0.0002525,0.0002525
27,111.222,1.66939,2.56177,1.05556,0.00167,0.5,0.13126,0.01678,1.69859,3.9263,1.08915,0.000252304,0.000252304,0.000252304
28,114.999,1.43961,2.86142,1.00351,0.00167,0.5,0.13126,0.01678,1.69859,3.9263,1.08915,0.000251316,0.000251316,0.000251316
29,118.849,1.56896,2.19791,1.06541,0.00167,0.5,0.1291,0.0153,1.69376,3.87825,1.11556,0.000249536,0.000249536,0.000249536
30,122.892,1.55042,2.04472,1.00818,0.00167,0.5,0.1291,0.0153,1.69376,3.87825,1.11556,0.000246964,0.000246964,0.000246964
31,127.127,1.88645,2.45739,1.14867,0.00167,0.5,0.13356,0.01665,1.67684,3.85172,1.12511,0.0002436,0.0002436,0.0002436
32,131.342,1.7842,2.27389,1.15948,0.00167,0.5,0.13356,0.01665,1.67684,3.85172,1.12511,0.000239444,0.000239444,0.000239444
33,135.573,1.42515,1.99038,0.95563,0.00167,0.5,0.26466,0.03104,1.69671,3.84991,1.12664,0.000234496,0.000234496,0.000234496
34,139.527,1.39112,2.09073,1.0142,0.00167,0.5,0.26466,0.03104,1.69671,3.84991,1.12664,0.000228756,0.000228756,0.000228756
35,143.653,1.40942,1.59347,0.98013,0.00167,0.5,0.29542,0.03939,1.76176,3.80517,1.13635,0.000222224,0.000222224,0.000222224
36,147.655,1.63866,2.30857,1.01765,0.00167,0.5,0.29542,0.03939,1.76176,3.80517,1.13635,0.0002149,0.0002149,0.0002149
37,151.768,1.43266,2.20123,0.99706,0.00167,0.5,0.30098,0.04326,1.80888,3.77095,1.14289,0.000206784,0.000206784,0.000206784
38,155.736,1.27316,2.14403,0.9658,0.00167,0.5,0.30098,0.04326,1.80888,3.77095,1.14289,0.000197876,0.000197876,0.000197876
39,159.82,1.5629,1.90794,1.06369,0.00167,0.5,0.30098,0.05379,1.85759,3.76646,1.14819,0.000188176,0.000188176,0.000188176
40,164.005,1.65973,2.16209,1.05775,0.00167,0.5,0.30098,0.05379,1.85759,3.76646,1.14819,0.000177684,0.000177684,0.000177684
41,168.031,1.55944,2.79806,1.09044,0.00167,0.5,0.34542,0.06742,1.87294,3.7762,1.14609,0.0001664,0.0001664,0.0001664
42,172.143,1.3013,2.72733,0.98502,0.00167,0.5,0.34542,0.06742,1.87294,3.7762,1.14609,0.000154324,0.000154324,0.000154324
43,176.358,1.4765,2.59678,1.05386,0.00167,0.5,0.37043,0.11683,1.84309,3.77855,1.14993,0.000141456,0.000141456,0.000141456
44,180.45,1.38413,2.41182,1.05838,0.00167,0.5,0.37043,0.11683,1.84309,3.77855,1.14993,0.000127796,0.000127796,0.000127796
45,184.478,1.52464,2.62073,1.00015,0.00167,0.5,0.34542,0.09171,1.84355,3.7738,1.15365,0.000113344,0.000113344,0.000113344
46,188.422,1.57207,2.84238,1.02582,0.00167,0.5,0.34542,0.09171,1.84355,3.7738,1.15365,9.81e-05,9.81e-05,9.81e-05
47,192.651,1.40619,2.39345,1.00032,0.00167,0.5,0.32876,0.09025,1.86697,3.77335,1.15143,8.2064e-05,8.2064e-05,8.2064e-05
48,196.88,1.37774,2.62232,0.98736,0.00167,0.5,0.32876,0.09025,1.86697,3.77335,1.15143,6.5236e-05,6.5236e-05,6.5236e-05
49,200.99,1.39826,2.58419,0.99564,0.00167,0.5,0.22292,0.08421,1.85017,3.74674,1.15178,4.7616e-05,4.7616e-05,4.7616e-05
50,205.019,1.37015,2.46596,1.03752,0.00167,0.5,0.22292,0.08421,1.85017,3.74674,1.15178,2.9204e-05,2.9204e-05,2.9204e-05
