epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3942,2.14385,0.89264,2.42155,0.94192,0.66667,0.66606,0.38457,1.89568,1.06402,2.32174,2e-05,2e-05,2e-05
2,43.495,1.61825,0.69849,1.58753,0.85659,0.66667,0.66601,0.3957,1.93481,0.94706,2.26411,5.8812e-05,5.8812e-05,5.8812e-05
3,61.0012,2.0231,0.82486,1.87037,0.8412,0.66667,0.66588,0.34224,2.1965,1.02754,2.36431,9.604e-05,9.604e-05,9.604e-05
4,78.197,1.52331,0.6709,1.3445,0.77773,0.66667,0.66748,0.27895,2.46517,1.09889,2.48254,0.000131684,0.000131684,0.000131684
5,95.8344,1.79245,1.6481,1.67274,0.61274,0.55556,0.42345,0.18465,2.6047,1.0611,2.50958,0.000165744,0.000165744,0.000165744
6,113.278,1.41092,0.71549,1.53483,0.73764,0.66667,0.60192,0.204,2.37824,0.96859,2.22465,0.00019822,0.00019822,0.00019822
7,130.733,1.10427,0.6997,1.17462,0.74242,0.66667,0.54502,0.23404,2.24174,1.16921,2.07151,0.000229112,0.000229112,0.000229112
8,147.911,1.1198,0.63355,1.12491,0.86558,0.77778,0.76225,0.27226,2.29634,1.10266,2.05449,0.00025842,0.00025842,0.00025842
9,165.813,1.80196,0.86747,1.56945,0.95443,0.77778,0.77597,0.3112,2.33406,1.0254,2.18836,0.000286144,0.000286144,0.000286144
10,183.581,1.43749,0.75623,1.31447,0.9876,0.77778,0.77595,0.29854,2.34687,1.09808,2.20868,0.000312284,0.000312284,0.000312284
11,201.082,1.5486,0.75619,1.40984,0.96622,0.77778,0.77605,0.29862,2.22639,1.0614,2.08251,0.00033684,0.00033684,0.00033684
12,218.603,1.56673,0.76214,1.33569,0.94817,0.77778,0.7761,0.32908,2.19124,1.06758,2.01018,0.000359812,0.000359812,0.000359812
13,236.721,1.75636,0.79578,1.33156,0.77097,0.77778,0.67237,0.31192,2.27087,0.97509,2.08645,0.0003812,0.0003812,0.0003812
14,254.087,1.55876,0.69711,1.4265,0.76969,0.77778,0.67863,0.30666,2.23731,0.88399,2.07435,0.000401004,0.000401004,0.000401004
15,271.336,1.31113,0.69657,1.23214,0.82265,0.77778,0.74912,0.35044,2.17613,0.92136,2.04387,0.000419224,0.000419224,0.000419224
16,289.767,1.33676,0.67494,1.21951,0.732,0.66667,0.54639,0.27998,2.33206,1.02324,2.14805,0.00043586,0.00043586,0.00043586
17,309.64,1.19059,0.83006,1.19862,0.72918,0.55556,0.55604,0.30827,2.43739,1.06657,2.2037,0.000450912,0.000450912,0.000450912
18,389.698,1.15696,0.78862,1.09852,0.97873,0.77778,0.77554,0.32819,2.3505,1.1226,2.10521,0.00046438,0.00046438,0.00046438
19,408.298,1.15266,0.66036,1.21765,0.94044,0.66667,0.66557,0.34231,2.28984,1.29181,2.07702,0.000476264,0.000476264,0.000476264
20,425.892,1.43331,0.76776,1.15231,0.77191,0.66667,0.66585,0.30602,2.40151,1.21751,2.12384,0.000486564,0.000486564,0.000486564
21,451.707,1.00305,0.81942,1.19493,0.72326,0.66667,0.52994,0.22361,2.51296,1.09465,2.28481,0.00049528,0.00049528,0.00049528
22,480.012,0.99466,0.70106,1.16425,0.76594,0.77778,0.66101,0.2349,2.50253,1.09566,2.29155,0.000502412,0.000502412,0.000502412
23,501.126,1.13032,0.62935,1.17971,0.85637,0.66667,0.57678,0.25185,2.35017,1.11951,2.20207,0.00050796,0.00050796,0.00050796
24,522.343,1.15118,0.69653,1.26195,0.68609,0.77778,0.64321,0.27043,2.25426,1.09441,2.12915,0.000511924,0.000511924,0.000511924
25,544.706,1.00356,0.67368,1.08853,0.80952,0.77778,0.69545,0.25699,2.28725,0.93681,2.15955,0.000514304,0.000514304,0.000514304
26,566.298,1.0472,0.5609,1.13538,0.81882,0.66667,0.61232,0.28424,2.25632,0.9276,2.18001,0.0005151,0.0005151,0.0005151
27,586.705,1.11226,0.62161,1.24349,0.81882,0.66667,0.73818,0.37683,2.02073,0.86995,2.05785,0.000514312,0.000514312,0.000514312
28,607.21,1.22069,0.64997,1.0849,0.81882,0.66667,0.73818,0.37683,2.02073,0.86995,2.05785,0.00051194,0.00051194,0.00051194
29,627.932,0.97908,0.64463,1.15032,0.91802,0.66667,0.75445,0.39604,1.99541,1.01679,1.99456,0.000507984,0.000507984,0.000507984
30,648.941,1.11074,0.61522,1.11326,0.93679,0.66667,0.6803,0.37848,1.98332,1.0428,1.9794,0.000502444,0.000502444,0.000502444
31,668.577,1.12735,0.63521,1.17291,0.93679,0.66667,0.6803,0.37848,1.98332,1.0428,1.9794,0.00049532,0.00049532,0.00049532
32,689.07,0.92322,0.55932,1.16703,0.9291,0.66667,0.75408,0.34935,2.09427,0.91839,2.0465,0.000486612,0.000486612,0.000486612
33,708.994,1.3469,0.62005,1.1781,0.91612,0.66667,0.71037,0.32071,2.18337,0.93902,2.14646,0.00047632,0.00047632,0.00047632
34,731.033,0.92468,0.58526,0.99296,0.91612,0.66667,0.71037,0.32071,2.18337,0.93902,2.14646,0.000464444,0.000464444,0.000464444
35,750.909,1.23516,0.69593,1.11609,0.9332,0.66667,0.73913,0.31079,2.12856,0.94963,2.09277,0.000450984,0.000450984,0.000450984
36,771.263,0.81801,0.50517,1.07849,0.90364,0.66667,0.74218,0.32963,2.14585,0.98606,2.15212,0.00043594,0.00043594,0.00043594
37,791.663,1.00852,0.53806,1.1164,0.90364,0.66667,0.74218,0.32963,2.14585,0.98606,2.15212,0.000419312,0.000419312,0.000419312
38,812.004,1.46717,0.64653,1.21739,0.6943,0.77778,0.74997,0.3268,2.20023,0.96306,2.22096,0.0004011,0.0004011,0.0004011
39,832.017,0.97598,0.64412,1.1217,0.59526,0.66667,0.61152,0.30251,2.22725,0.90386,2.27526,0.000381304,0.000381304,0.000381304
40,851.7,0.854,0.5533,1.01632,0.59526,0.66667,0.61152,0.30251,2.22725,0.90386,2.27526,0.000359924,0.000359924,0.000359924
41,871.198,1.39438,0.63289,1.07528,0.69494,0.77778,0.6521,0.29236,2.27042,0.81641,2.34962,0.00033696,0.00033696,0.00033696
42,890.86,0.89901,0.54154,1.03586,0.69642,0.77778,0.66332,0.26819,2.26403,0.81895,2.38028,0.000312412,0.000312412,0.000312412
43,910.546,2.05187,0.88865,2.25308,0.69642,0.77778,0.66332,0.26819,2.26403,0.81895,2.38028,0.00028628,0.00028628,0.00028628
44,929.928,1.35054,0.67123,1.21523,0.69927,0.77778,0.75616,0.28067,2.25601,0.84193,2.35998,0.000258564,0.000258564,0.000258564
45,949.472,1.33505,0.58342,1.30524,0.69927,0.77778,0.75616,0.28067,2.25601,0.84193,2.35998,0.000229264,0.000229264,0.000229264
46,969.5,1.09947,0.55538,1.15821,0.7942,0.88889,0.8678,0.30056,2.20354,0.84402,2.25181,0.00019838,0.00019838,0.00019838
47,989.32,1.36124,0.62227,1.48216,0.7942,0.88889,0.8678,0.30056,2.20354,0.84402,2.25181,0.000165912,0.000165912,0.000165912
48,1009.14,1.01184,0.66573,1.0936,0.88117,0.82711,0.8773,0.30114,2.11521,0.8829,2.1466,0.00013186,0.00013186,0.00013186
49,1028.98,0.87471,0.52144,1.21103,0.88117,0.82711,0.8773,0.30114,2.11521,0.8829,2.1466,9.6224e-05,9.6224e-05,9.6224e-05
50,1048.8,0.71691,0.52366,1.04788,0.88531,0.88889,0.87744,0.30831,2.06409,0.90431,2.1036,5.9004e-05,5.9004e-05,5.9004e-05
