epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.74341,2.94598,13.0175,2.10711,0.08095,0.21429,0.05607,0.01161,3.41916,6.36261,1.77428,2e-05,2e-05,2e-05
2,9.96517,3.15224,12.8236,1.96736,0.08907,0.14286,0.05035,0.00928,3.41624,6.49063,1.78411,5.8812e-05,5.8812e-05,5.8812e-05
3,14.9535,3.28058,15.477,2.26997,0.07471,0.28571,0.05646,0.0101,3.44603,6.53745,1.81274,9.604e-05,9.604e-05,9.604e-05
4,21.087,3.1446,12.2644,2.13304,0.0721,0.28571,0.05076,0.009,3.43609,6.70251,1.83147,0.000131684,0.000131684,0.000131684
5,26.5317,3.41357,12.3302,2.45785,0.04969,0.07143,0.01675,0.00508,3.10282,20.7437,1.71773,0.000165744,0.000165744,0.000165744
6,32.6555,3.00252,9.85781,1.93494,0.78071,0.35714,0.45753,0.12706,2.90104,5.84243,1.53371,0.00019822,0.00019822,0.00019822
7,39.6815,2.24861,5.58432,1.30874,0.57614,0.5,0.45468,0.15871,2.45325,8.46762,1.50552,0.000229112,0.000229112,0.000229112
8,47.9259,2.21825,3.81756,1.39238,0.52149,0.77877,0.64569,0.24939,2.12847,7.67683,1.31073,0.00025842,0.00025842,0.00025842
9,55.8258,2.1464,3.27877,1.31833,0.67898,0.5,0.54989,0.216,2.03687,6.30792,1.17106,0.000286144,0.000286144,0.000286144
10,63.8655,1.93395,2.68655,1.2617,0.51539,0.85714,0.7661,0.30116,1.98976,5.60137,1.16328,0.000312284,0.000312284,0.000312284
11,72.2262,1.94708,2.25891,1.32518,0.96171,0.42857,0.64017,0.27132,2.14101,3.91095,1.21055,0.00033684,0.00033684,0.00033684
12,79.186,2.03639,2.196,1.26864,0.51687,0.78571,0.51838,0.18412,2.18185,4.33217,1.30515,0.000359812,0.000359812,0.000359812
13,87.2547,2.02602,1.9786,1.32079,0.32398,0.42857,0.3545,0.15554,2.11971,4.82746,1.26657,0.0003812,0.0003812,0.0003812
14,95.8511,2.03938,2.09562,1.27381,0.52667,0.55715,0.62289,0.26059,2.06011,5.65299,1.2709,0.000401004,0.000401004,0.000401004
15,103.44,1.92366,1.82991,1.25258,0.33719,0.79977,0.38446,0.11593,2.17938,4.84498,1.34615,0.000419224,0.000419224,0.000419224
16,111.283,1.97864,1.85908,1.33723,0.38113,0.57143,0.63472,0.27129,2.07881,3.81526,1.38156,0.00043586,0.00043586,0.00043586
17,118.624,1.77148,1.70666,1.32222,0.81699,0.42857,0.59712,0.26648,2.05828,3.24849,1.34917,0.000450912,0.000450912,0.000450912
18,130.778,1.95396,1.60989,1.40264,0.68761,0.42857,0.53812,0.24473,2.06338,5.46287,1.40249,0.00046438,0.00046438,0.00046438
19,146.988,1.86633,1.65461,1.43674,0.64092,0.42857,0.41596,0.19901,2.10984,5.21766,1.44438,0.000476264,0.000476264,0.000476264
20,158.605,1.7566,1.39568,1.26283,0.51958,0.71429,0.54715,0.23958,2.13746,4.79381,1.49045,0.000486564,0.000486564,0.000486564
21,168.222,1.68623,1.39801,1.18467,0.58688,0.78571,0.55998,0.22801,2.09665,3.71498,1.49368,0.00049528,0.00049528,0.00049528
22,176.054,1.65513,1.42428,1.22978,0.744,0.83144,0.75804,0.30412,2.05033,2.66823,1.48342,0.000502412,0.000502412,0.000502412
23,183.829,1.76604,1.43681,1.39459,0.67594,0.64286,0.62891,0.25319,2.15237,2.84507,1.64198,0.00050796,0.00050796,0.00050796
24,191.8,1.78334,1.31896,1.27007,0.52959,0.57143,0.42735,0.19479,2.29683,2.7211,1.71385,0.000511924,0.000511924,0.000511924
25,201.877,1.70369,1.31967,1.37673,0.79799,0.84712,0.77722,0.25629,2.16027,1.85917,1.69374,0.000514304,0.000514304,0.000514304
26,214.037,1.93932,1.37349,1.323,0.84784,0.85714,0.81636,0.27355,2.19648,1.65069,1.76664,0.0005151,0.0005151,0.0005151
27,223.989,1.6546,1.32855,1.29846,0.90062,0.78571,0.83601,0.28262,2.19027,1.52162,1.64291,0.000514312,0.000514312,0.000514312
28,234.656,1.80236,1.43259,1.56098,0.90062,0.78571,0.83601,0.28262,2.19027,1.52162,1.64291,0.00051194,0.00051194,0.00051194
29,243.949,1.50473,1.13514,1.20589,0.58447,0.64286,0.58028,0.22667,2.35412,1.74732,1.71413,0.000507984,0.000507984,0.000507984
