epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4041,2.99847,25.985,2.15013,0.12434,0.28571,0.0732,0.01095,3.33647,10.8,2.51853,6e-05,6e-05,6e-05
2,48.5917,3.21428,20.8269,2.53149,0.10211,0.3172,0.0519,0.00697,3.27201,10.9481,2.45661,0.000138614,0.000138614,0.000138614
3,83.6619,3.33261,26.7413,2.67973,0.06348,0.28571,0.03099,0.00465,3.353,11.0598,2.38727,0.000215644,0.000215644,0.000215644
4,117.037,2.96791,21.6421,2.21232,0.00203,0.64286,0.00189,0.00054,2.42957,131.621,1.79859,0.00029109,0.00029109,0.00029109
5,164.411,2.56636,9.72046,1.70097,0.38192,0.35714,0.20008,0.06905,2.38099,19.5201,1.68471,0.000364952,0.000364952,0.000364952
6,194.356,1.9681,7.1435,1.53379,0.04026,0.21429,0.03111,0.01011,2.36481,47.4679,1.61401,0.00043723,0.00043723,0.00043723
7,228.596,2.22209,5.74,1.46574,0.66465,0.35714,0.41164,0.10397,2.58553,10.691,1.8623,0.000507924,0.000507924,0.000507924
8,258.88,2.11683,4.64242,1.47714,0.36938,0.21429,0.147,0.04366,2.612,8.09635,1.85497,0.000577034,0.000577034,0.000577034
9,298.334,1.98591,4.53329,1.4005,0.43802,0.21429,0.17685,0.02843,2.48086,6.70795,1.888,0.00064456,0.00064456,0.00064456
10,334.371,2.07212,3.39679,1.43022,0.06037,0.35714,0.03957,0.00902,2.38239,5.00239,1.77223,0.000710502,0.000710502,0.000710502
11,360.942,2.06919,3.20834,1.48282,0.46836,0.64286,0.41861,0.12007,2.40945,2.30428,1.83158,0.00077486,0.00077486,0.00077486
12,389.703,1.926,2.64363,1.46574,0.3622,0.28571,0.13826,0.03592,2.71216,4.00582,2.17352,0.000837634,0.000837634,0.000837634
13,427.593,1.91228,2.41732,1.55258,0.38257,0.35714,0.21038,0.04807,2.81367,4.06264,2.12613,0.000898824,0.000898824,0.000898824
14,464.645,2.07686,3.17114,1.67327,0.26414,0.0566,0.02711,0.02064,2.90573,5.54193,2.09898,0.00095843,0.00095843,0.00095843
15,496.151,2.06433,3.03971,1.51547,0.67639,0.42857,0.5114,0.19316,2.34687,3.21414,1.76971,0.00101645,0.00101645,0.00101645
16,525.483,2.28365,2.55496,1.57684,0.67639,0.42857,0.5114,0.19316,2.34687,3.21414,1.76971,0.00107289,0.00107289,0.00107289
17,562.284,2.15912,2.5886,1.55668,0.0143,0.57143,0.01221,0.00512,2.20485,21.0465,1.67059,0.00112774,0.00112774,0.00112774
18,604.198,2.00048,2.44403,1.43627,0.36925,0.71429,0.37001,0.1268,1.92018,2.64422,1.65235,0.00118101,0.00118101,0.00118101
19,641.192,1.97003,2.44267,1.5722,0.36925,0.71429,0.37001,0.1268,1.92018,2.64422,1.65235,0.0012327,0.0012327,0.0012327
20,674.96,2.06659,2.0773,1.57347,0.18406,0.35714,0.20369,0.054,2.38571,2.7355,2.28423,0.0012828,0.0012828,0.0012828
21,701.619,1.92638,1.95503,1.49677,0.82187,0.28571,0.42736,0.10318,2.23039,2.37676,1.90932,0.00133132,0.00133132,0.00133132
22,730.443,1.92257,1.94967,1.558,0.82187,0.28571,0.42736,0.10318,2.23039,2.37676,1.90932,0.00137825,0.00137825,0.00137825
23,755.411,1.90567,2.31827,1.56756,0.54291,0.35714,0.27752,0.12892,2.37417,2.37317,1.99543,0.0014236,0.0014236,0.0014236
24,783.769,2.35031,3.20158,1.72513,0.54291,0.35714,0.27752,0.12892,2.37417,2.37317,1.99543,0.00146737,0.00146737,0.00146737
25,812.451,2.2068,2.40444,1.5932,0.32703,0.42857,0.24643,0.10957,2.65118,2.86217,2.05943,0.00150955,0.00150955,0.00150955
26,841.444,2.17983,2.29793,1.54603,0.32703,0.42857,0.24643,0.10957,2.65118,2.86217,2.05943,0.001505,0.001505,0.001505
27,865.283,2.13213,2.32181,1.62525,0.44717,0.5,0.3767,0.15847,2.24175,3.40375,1.85322,0.0014852,0.0014852,0.0014852
28,897.416,1.91254,1.91068,1.45733,0.44717,0.5,0.3767,0.15847,2.24175,3.40375,1.85322,0.0014654,0.0014654,0.0014654
29,927.131,1.85861,1.76158,1.5301,0.5913,0.5,0.51201,0.18003,2.16473,4.9944,1.94106,0.0014456,0.0014456,0.0014456
30,959.892,1.88976,1.87182,1.61043,0.5913,0.5,0.51201,0.18003,2.16473,4.9944,1.94106,0.0014258,0.0014258,0.0014258
31,991.165,1.99476,2.03319,1.5427,0.73284,0.85714,0.74122,0.2788,2.00559,3.14215,1.69278,0.001406,0.001406,0.001406
32,1061.06,1.91368,1.59986,1.552,0.73284,0.85714,0.74122,0.2788,2.00559,3.14215,1.69278,0.0013862,0.0013862,0.0013862
33,1107.14,1.8424,1.48164,1.47706,0.70816,0.78571,0.74688,0.33841,1.98315,1.72939,1.56286,0.0013664,0.0013664,0.0013664
34,1153.6,1.92965,1.44663,1.45627,0.70816,0.78571,0.74688,0.33841,1.98315,1.72939,1.56286,0.0013466,0.0013466,0.0013466
35,1198,1.89541,1.34815,1.39384,0.71829,0.78571,0.75265,0.2959,2.1965,1.6849,1.69009,0.0013268,0.0013268,0.0013268
36,1278.5,1.80387,1.24848,1.45409,0.71829,0.78571,0.75265,0.2959,2.1965,1.6849,1.69009,0.001307,0.001307,0.001307
37,1323.51,2.01725,1.51396,1.53166,0.77787,0.75173,0.79612,0.31666,2.15256,1.64882,1.71747,0.0012872,0.0012872,0.0012872
38,1372.51,2.12958,1.45978,1.60608,0.77787,0.75173,0.79612,0.31666,2.15256,1.64882,1.71747,0.0012674,0.0012674,0.0012674
